SDSS z u_mag sig_u_mag g_mag sig_g_mag r_mag sig_r_mag i_mag sig_i_mag z_mag sig_z_mag FIRST ROSAT Mp
000103.85-104630.3 2.0808 18.717 0.031 18.513 0.018 18.408 0.018 18.145 0.015 17.955 0.028  0.000 -9.000 -27.381
000104.52+002753.8 0.5517 20.690 0.075 20.208 0.032 20.291 0.030 20.086 0.039 19.897 0.108  0.000 -9.000 -22.250
000104.92+160101.2 0.4529 19.886 0.044 19.571 0.020 19.256 0.016 18.975 0.021 18.750 0.040 -1.000 -9.000 -22.904
000107.52+004113.1 1.3988 20.213 0.051 20.105 0.030 19.815 0.027 19.666 0.034 19.749 0.088  0.000 -9.000 -24.917
000109.12-004121.6 0.4166 19.377 0.036 19.142 0.034 18.955 0.034 18.859 0.020 18.617 0.040  0.000 -9.000 -22.824
000110.97-105247.4 0.5283 17.995 0.022 17.655 0.026 17.639 0.016 17.485 0.025 17.516 0.028  0.000 -9.000 -24.764
000111.19-002011.5 0.5178 19.265 0.041 18.729 0.019 18.603 0.020 18.308 0.017 18.234 0.033 12.983 -9.000 -23.894
000112.43-000029.2 1.4186 20.559 0.075 20.718 0.037 20.413 0.032 20.291 0.037 20.237 0.142  0.000 -9.000 -24.335
000116.00+141123.0 0.4037 19.007 0.026 18.682 0.021 18.704 0.016 18.556 0.021 18.156 0.029 -1.000 -9.000 -23.089
000118.40-010221.8 1.9685 19.911 0.055 19.900 0.026 19.756 0.025 19.459 0.025 19.337 0.074  0.000 -9.000 -25.950
000118.69+003314.1 1.4003 20.712 0.075 20.488 0.036 20.344 0.032 20.295 0.045 20.317 0.155  0.000 -9.000 -24.289
000119.44-011234.3 2.2135 20.591 0.073 20.111 0.027 19.959 0.029 19.707 0.033 19.410 0.075  0.000 -9.000 -25.973
000119.50+001038.0 1.6199 20.892 0.102 20.554 0.028 20.431 0.035 20.199 0.042 20.099 0.152  0.000 -9.000 -24.735
000119.64+154828.8 1.9242 19.661 0.038 19.555 0.019 19.301 0.024 19.016 0.019 18.826 0.044 -1.000 -9.000 -26.345
