SDSS z u_mag sig_u_mag g_mag sig_g_mag r_mag sig_r_mag i_mag sig_i_mag z_mag sig_z_mag FIRST ROSAT Mp
093549.88+364555.5 0.5169 19.048 0.026 18.650 0.017 18.700 0.031 18.487 0.022 18.625 0.037  0.000 -9.000 -23.663
093549.98+423903.1 1.7683 20.361 0.065 20.268 0.041 20.308 0.050 20.143 0.044 20.054 0.119  0.000 -9.000 -24.960
093550.13+101731.8 1.2106 19.096 0.027 18.979 0.021 18.707 0.019 18.677 0.018 18.718 0.042  0.000 -9.000 -25.574
093550.64+435937.7 1.0952 20.077 0.038 19.997 0.022 19.759 0.023 19.887 0.025 19.818 0.066  0.000 -9.000 -24.096
093551.20+002332.9 1.7584 20.388 0.049 20.270 0.024 20.184 0.027 19.948 0.031 20.077 0.126  0.000 -9.000 -25.220
093551.32+444644.7 3.0743 22.156 0.146 20.064 0.021 19.858 0.022 19.902 0.031 20.063 0.096  0.000 -9.000 -26.466
093551.47+551114.6 1.7890 20.378 0.054 20.278 0.025 20.364 0.035 20.071 0.035 20.103 0.164  0.000 -9.000 -25.098
093551.88+114437.7 0.9374 19.189 0.026 18.919 0.022 18.746 0.018 18.822 0.020 18.876 0.051  0.000 -9.000 -24.795
093552.97+495314.3 1.9261 17.764 0.019 17.143 0.034 16.822 0.015 16.667 0.015 16.628 0.028  0.000 -9.000 -28.642
093553.74+383753.5 1.2426 20.315 0.058 20.373 0.030 20.008 0.038 20.020 0.044 20.350 0.165 14.980 -9.000 -24.254
093553.81+050353.2 1.4030 19.313 0.041 19.248 0.034 18.984 0.019 18.901 0.018 18.866 0.042  0.000 -9.000 -25.712
093554.26+004919.4 1.5606 19.987 0.049 19.602 0.028 19.451 0.022 19.202 0.023 19.528 0.089  0.000 -9.000 -25.711
093554.34+522432.2 1.9340 20.206 0.049 20.180 0.032 20.258 0.034 20.041 0.037 19.849 0.110  0.000 -9.000 -25.275
093554.45+525616.4 4.0043 24.260 1.272 20.437 0.046 18.834 0.025 18.630 0.022 18.325 0.038  0.000 -9.000 -28.304
093554.46+394650.3 0.3378 19.169 0.026 18.883 0.030 18.612 0.025 18.612 0.017 18.235 0.031  0.000 -1.450 -22.518
093554.71+431031.0 0.7626 19.662 0.036 19.078 0.021 18.962 0.020 19.032 0.020 18.828 0.036  0.000 -9.000 -24.067
093554.85+472628.8 1.8624 20.590 0.092 20.342 0.028 20.327 0.033 20.007 0.041 19.813 0.137  0.000 -9.000 -25.215
093554.86+093431.7 1.1279 19.337 0.036 19.318 0.015 19.149 0.016 19.267 0.022 19.233 0.078  0.000 -9.000 -24.817
093554.87+520628.0 2.1536 18.721 0.019 18.559 0.025 18.372 0.017 18.310 0.020 18.183 0.027  0.000 -9.000 -27.250
093555.11+033618.3 2.5839 19.439 0.031 18.810 0.023 18.736 0.018 18.781 0.017 18.553 0.033  0.000 -9.000 -27.230
093555.39+551240.1 1.8001 20.204 0.049 20.125 0.023 20.177 0.031 19.847 0.031 19.985 0.147  0.000 -9.000 -25.329
093555.62+060235.7 0.4696 20.372 0.071 20.114 0.031 20.207 0.034 19.978 0.030 19.615 0.094  0.000 -9.000 -22.000
093556.29+035008.8 0.8158 20.724 0.065 20.360 0.023 20.153 0.025 20.087 0.031 19.752 0.092  0.000 -9.000 -23.212
093556.40+552906.5 1.3624 20.131 0.042 19.917 0.019 19.647 0.018 19.665 0.026 19.693 0.085  0.000 -9.000 -24.843
093556.72+590202.2 0.9788 20.330 0.051 20.074 0.031 19.745 0.019 19.794 0.030 19.700 0.075  0.000 -9.000 -23.922
093556.85+621249.7 0.4079 19.564 0.034 19.177 0.015 18.805 0.014 18.529 0.016 18.114 0.026  0.000 -9.000 -23.103
093556.91+002255.6 3.7495 25.884 0.533 19.855 0.020 18.678 0.018 18.524 0.017 18.403 0.041  0.000 -9.000 -28.341
093557.76+092937.0 0.5841 19.562 0.035 19.101 0.037 19.251 0.020 18.981 0.027 18.945 0.054  0.000 -9.000 -23.506
093557.85+005528.1 1.3013 20.441 0.055 20.461 0.025 20.212 0.027 20.161 0.040 20.163 0.139  0.000 -9.000 -24.326
093558.35+461038.0 1.8975 20.101 0.052 19.260 0.028 18.695 0.022 18.311 0.015 18.036 0.027  0.000 -9.000 -26.950
093559.39+015710.4 0.6206 19.653 0.040 19.368 0.022 19.437 0.020 19.233 0.023 19.142 0.074  0.000 -9.000 -23.407
093559.50+525202.0 2.0673 20.821 0.091 20.632 0.041 20.379 0.033 20.095 0.038 19.583 0.099 13.585 -9.000 -25.378
093559.86+113854.9 1.9426 19.466 0.030 19.384 0.023 19.278 0.020 19.079 0.022 18.906 0.052  0.000 -9.000 -26.264
093600.65+010150.6 0.8519 19.489 0.033 19.044 0.018 18.764 0.025 18.806 0.023 18.617 0.048  0.000 -9.000 -24.661
093601.17+591129.8 0.9594 19.275 0.026 18.950 0.018 18.712 0.014 18.749 0.017 18.671 0.035  0.000 -9.000 -24.921
093601.24+092228.8 0.4037 19.593 0.036 19.306 0.037 19.238 0.021 19.093 0.027 18.731 0.048  0.000 -9.000 -22.506
093601.35+444059.8 1.5587 19.878 0.036 19.637 0.015 19.622 0.016 19.424 0.027 19.530 0.061  0.000 -9.000 -25.395
093601.75+590856.1 0.7257 21.049 0.088 20.170 0.024 20.067 0.024 20.098 0.035 19.582 0.069  0.000 -9.000 -22.894
093601.75+330645.9 1.8565 18.826 0.020 18.826 0.018 18.839 0.013 18.591 0.019 18.537 0.033  0.000 -9.000 -26.634
093602.43+053835.5 1.9593 19.897 0.043 19.899 0.028 19.852 0.028 19.670 0.026 19.643 0.078  0.000 -9.000 -25.716
093603.09+310019.3 2.0125 19.191 0.033 18.993 0.017 18.911 0.015 18.757 0.022 18.535 0.027  0.000 -9.000 -26.655
093603.51+002946.2 0.7622 20.630 0.059 20.173 0.026 19.972 0.027 19.787 0.035 19.516 0.069  0.000 -9.000 -23.393
093603.86+421444.5 1.6643 20.795 0.072 20.473 0.035 20.475 0.029 20.219 0.035 20.284 0.131  0.000 -9.000 -24.745
093603.89+320709.3 1.1502 17.565 0.014 17.543 0.016 17.349 0.021 17.326 0.012 17.388 0.020 12.804 -1.370 -26.775
093603.97+501424.5 0.6447 19.083 0.030 18.704 0.028 18.733 0.021 18.569 0.027 18.680 0.049  0.000 -9.000 -24.116
093604.70+104552.5 1.4621 19.287 0.027 19.136 0.018 18.975 0.018 18.806 0.017 18.763 0.031  0.000 -9.000 -25.893
093604.89+081831.3 2.3034 19.754 0.031 19.158 0.019 19.090 0.020 19.059 0.024 18.947 0.049  0.000 -9.000 -26.699
093604.95+542657.8 1.1475 18.657 0.025 18.642 0.016 18.321 0.019 18.249 0.014 18.417 0.032  0.000 -9.000 -25.848
093606.19+570828.6 1.2015 19.497 0.039 19.408 0.021 19.193 0.019 19.158 0.027 19.102 0.049  0.000 -9.000 -25.046
093606.57+112146.3 3.0024 21.870 0.163 20.052 0.023 19.882 0.025 19.965 0.032 19.871 0.100 13.700 -9.000 -26.371
093607.34+120119.7 2.8229 21.644 0.100 20.033 0.031 19.758 0.020 19.637 0.025 19.483 0.054  0.000 -9.000 -26.551
093607.64+054424.3 1.4181 19.796 0.048 19.745 0.017 19.310 0.028 19.198 0.027 19.092 0.058  0.000 -9.000 -25.460
093607.98-000852.7 0.6638 19.442 0.029 19.194 0.018 19.196 0.019 19.030 0.023 19.000 0.047  0.000 -9.000 -23.765
093608.38+074208.0 0.7936 19.717 0.035 19.255 0.020 19.086 0.017 19.022 0.019 18.908 0.051  0.000 -9.000 -24.223
093610.43+084314.6 1.9622 19.396 0.037 19.334 0.023 19.298 0.020 19.051 0.029 18.872 0.052  0.000 -9.000 -26.355
093610.76+475527.7 0.3673 18.093 0.022 18.088 0.019 18.059 0.026 18.085 0.026 17.662 0.020  0.000 -9.000 -23.247
093610.86+281244.2 1.0915 18.979 0.027 18.890 0.026 18.559 0.021 18.537 0.026 18.509 0.039  0.000 -9.000 -25.438
093610.99+050202.5 1.6698 19.305 0.041 19.087 0.020 18.932 0.017 18.657 0.023 18.592 0.033 14.356 -9.000 -26.365
093611.19+480700.2 1.2027 19.507 0.033 19.463 0.022 19.198 0.028 19.078 0.031 19.045 0.052  0.000 -9.000 -25.131
093611.63+313058.8 1.1637 18.966 0.026 18.892 0.029 18.699 0.024 18.624 0.016 18.771 0.040  0.000 -9.000 -25.505
093611.75+052251.5 1.5146 19.759 0.039 19.437 0.035 19.414 0.020 19.261 0.033 19.389 0.060  0.000 -9.000 -25.552
093612.24+514810.3 0.2464 18.314 0.022 18.256 0.027 18.000 0.021 17.781 0.021 17.593 0.023  0.000 -1.025 -22.591
093612.64+040014.9 2.1678 20.130 0.050 19.983 0.029 20.064 0.033 19.857 0.031 19.962 0.128  0.000 -9.000 -25.762
093612.80+461300.8 0.8884 20.322 0.064 20.234 0.032 20.137 0.033 20.143 0.035 20.235 0.137  0.000 -9.000 -23.317
093612.94+002520.2 1.4663 20.542 0.056 20.378 0.027 20.144 0.029 19.978 0.038 20.183 0.123  0.000 -9.000 -24.773
093613.88+424818.3 1.7361 19.680 0.034 19.518 0.017 19.328 0.015 19.028 0.019 19.068 0.041  0.000 -9.000 -26.038
093614.35+315617.2 2.0456 19.238 0.028 19.033 0.018 18.799 0.023 18.578 0.015 18.396 0.031  0.000 -9.000 -26.881
093615.52+092732.1 1.1983 19.362 0.032 19.270 0.037 19.011 0.019 18.935 0.027 18.825 0.054 12.577 -9.000 -25.295
093616.81-000847.2 0.9498 19.623 0.031 19.542 0.017 19.362 0.019 19.445 0.027 19.380 0.059  0.000 -9.000 -24.225
093616.85-000347.0 1.1413 19.487 0.029 19.512 0.017 19.251 0.019 19.192 0.024 19.261 0.053 11.846 -9.000 -24.935
093617.15+604304.5 1.1479 19.149 0.028 18.929 0.017 18.703 0.018 18.652 0.015 18.661 0.036  0.000 -9.000 -25.466
093617.24+434442.1 0.8688 18.967 0.028 18.678 0.013 18.636 0.016 18.765 0.018 19.717 0.376  0.000 -9.000 -24.646
093617.26+550459.6 2.2598 20.890 0.068 20.332 0.026 20.391 0.028 20.388 0.038 20.264 0.115  0.000 -9.000 -25.297
093617.57+565911.4 0.9073 19.137 0.031 19.030 0.016 19.005 0.016 19.182 0.024 19.061 0.045  0.000 -9.000 -24.348
093618.77+404322.1 1.9276 18.908 0.031 18.915 0.031 18.866 0.016 18.680 0.025 18.584 0.040  0.000 -9.000 -26.621
093620.52+004649.2 1.7175 18.955 0.022 18.779 0.018 18.683 0.019 18.399 0.016 18.368 0.029  0.000 -9.000 -26.736
093621.50+392131.9 0.2100 19.574 0.036 18.946 0.015 18.146 0.017 17.776 0.020 17.873 0.022 12.816 -9.000 -22.228
093621.85+394247.7 3.3187 24.482 0.990 20.440 0.022 20.029 0.026 20.010 0.035 20.268 0.171  0.000 -9.000 -26.520
093622.07-004555.4 1.7759 20.271 0.056 20.204 0.023 20.238 0.026 20.056 0.032 19.947 0.095  0.000 -9.000 -25.095
093622.47+100013.5 1.7298 19.677 0.038 19.654 0.021 19.598 0.024 19.280 0.026 19.334 0.075  0.000 -9.000 -25.802
093622.89+060613.6 0.2948 19.742 0.040 19.638 0.024 19.179 0.020 18.823 0.023 18.477 0.031  0.000 -9.000 -22.070
093623.12+385243.2 0.8123 19.317 0.030 18.940 0.020 18.967 0.024 19.177 0.021 19.086 0.057  0.000 -9.000 -24.078
093624.08+452827.4 1.0911 19.991 0.036 19.934 0.023 19.640 0.026 19.726 0.023 19.916 0.072  0.000 -9.000 -24.240
093625.36+575608.8 1.6524 19.990 0.041 19.494 0.019 19.292 0.025 19.034 0.018 18.982 0.043  0.000 -9.000 -25.933
093625.43+394933.7 1.2561 16.434 0.013 16.340 0.029 16.074 0.023 16.087 0.014 16.184 0.016  0.000 -1.482 -28.218
093625.47+315914.0 1.4919 19.402 0.028 19.231 0.019 19.112 0.024 18.968 0.017 19.072 0.048  0.000 -9.000 -25.753
093625.98+422531.5 2.2411 20.749 0.072 20.270 0.029 20.394 0.028 20.383 0.041 20.090 0.117  0.000 -9.000 -25.268
093627.21+541916.3 2.1270 19.924 0.039 19.808 0.021 19.792 0.022 19.650 0.029 19.416 0.072  0.000 -9.000 -25.889
093628.34+415915.3 1.7346 19.615 0.029 19.570 0.018 19.594 0.019 19.445 0.022 19.565 0.060  0.000 -9.000 -25.611
093628.59+371635.1 1.5842 20.565 0.061 20.182 0.026 20.164 0.030 19.850 0.036 19.717 0.099  0.000 -9.000 -25.001
093628.67+012329.2 1.6643 20.336 0.064 20.165 0.023 20.018 0.033 19.780 0.034 19.817 0.117 15.732 -9.000 -25.272
093629.92+443947.1 2.0658 20.232 0.043 20.318 0.021 20.459 0.025 20.143 0.028 19.976 0.088  0.000 -9.000 -25.330
093630.48+494238.1 1.3894 18.679 0.045 18.649 0.029 18.336 0.016 18.313 0.024 18.489 0.038  0.000 -9.000 -26.228
093631.35+112818.5 1.1647 19.074 0.023 19.040 0.021 18.865 0.016 18.809 0.031 18.813 0.040  0.000 -9.000 -25.338
093631.38+372608.9 3.1478 21.698 0.159 19.860 0.023 19.868 0.021 19.948 0.032 19.892 0.098  0.000 -9.000 -26.463
093632.03+343350.5 2.8601 21.805 0.174 20.088 0.024 19.836 0.027 19.614 0.027 19.399 0.068  0.000 -9.000 -26.583
093632.65+092749.0 2.3545 18.809 0.030 18.273 0.026 18.231 0.018 18.302 0.018 18.200 0.034  0.000 -9.000 -27.501
093633.26+035007.6 1.1707 18.660 0.021 18.506 0.016 18.387 0.016 18.340 0.014 18.294 0.029  0.000 -9.000 -25.839
093633.66+035517.7 1.6175 20.293 0.047 20.016 0.021 19.945 0.024 19.633 0.022 19.575 0.078  0.000 -9.000 -25.306
093633.98+364209.8 1.6269 19.276 0.033 19.024 0.020 18.968 0.020 18.782 0.034 18.881 0.043  0.000 -9.000 -26.130
093636.23+562207.4 1.7686 18.713 0.023 18.584 0.018 18.388 0.023 18.075 0.020 18.038 0.028  0.000 -9.000 -27.047
093636.28+054850.1 1.1013 19.205 0.037 18.986 0.019 18.678 0.024 18.678 0.020 18.631 0.041  0.000 -9.000 -25.447
093636.33+532743.1 1.4058 18.307 0.021 18.285 0.029 18.003 0.039 17.958 0.023 18.014 0.027  0.000 -9.000 -26.607
093636.43+351220.2 0.6792 18.224 0.020 17.874 0.018 17.881 0.014 17.882 0.015 17.827 0.022  0.000 -9.000 -24.930
093636.58+605644.8 0.9308 19.287 0.028 19.027 0.020 18.896 0.019 18.898 0.023 18.911 0.053  0.000 -9.000 -24.715
093636.59+120930.6 2.0635 19.061 0.024 18.995 0.023 18.846 0.022 18.656 0.017 18.455 0.035  0.000 -9.000 -26.829
093637.61+102851.9 1.1995 19.289 0.032 19.187 0.025 18.897 0.022 18.879 0.037 18.967 0.062  0.000 -9.000 -25.360
093639.12+611918.1 1.3296 19.273 0.026 19.211 0.051 18.946 0.017 18.904 0.022 18.951 0.061  0.000 -9.000 -25.571
093639.35+622630.8 1.4227 19.106 0.027 18.945 0.028 18.665 0.017 18.575 0.021 18.616 0.041  0.000 -9.000 -26.068
093639.56+025140.0 1.4117 18.967 0.024 19.013 0.027 18.750 0.021 18.684 0.020 18.668 0.035  0.000 -9.000 -25.944
093640.15+574351.6 2.1043 20.477 0.061 20.304 0.027 20.297 0.035 20.171 0.042 20.084 0.117  0.000 -9.000 -25.342
093640.33+484741.0 1.2407 18.439 0.022 18.306 0.021 18.077 0.018 18.127 0.017 18.261 0.033  0.000 -9.000 -26.154
093640.95+424202.6 0.7923 20.512 0.079 20.165 0.036 20.081 0.035 19.983 0.040 19.572 0.098  0.000 -9.000 -23.205
093641.60+083328.4 1.4897 20.410 0.060 20.266 0.030 20.007 0.026 19.813 0.029 19.877 0.096  0.000 -9.000 -24.946
093641.77+101424.5 0.9846 19.322 0.033 19.125 0.027 18.851 0.026 18.845 0.026 18.711 0.044  0.000 -1.051 -24.913
093642.14+341651.7 0.7616 19.141 0.026 18.865 0.018 18.799 0.016 18.927 0.022 18.807 0.030  0.000 -1.606 -24.169
093642.55+623315.1 2.4788 21.750 0.206 20.801 0.042 20.620 0.042 20.443 0.055 19.807 0.108  0.000 -9.000 -25.487
093642.96+551119.4 0.4978 18.916 0.020 18.691 0.018 18.768 0.013 18.610 0.020 18.378 0.030  0.000 -9.000 -23.464
093643.10+535020.3 1.0902 20.430 0.059 20.243 0.041 19.996 0.027 19.985 0.034 19.941 0.093  0.000 -9.000 -23.974
093643.25+053744.9 1.6124 20.300 0.052 20.068 0.030 19.937 0.026 19.609 0.030 19.572 0.079  0.000 -9.000 -25.459
093643.29+460605.6 2.2189 18.873 0.023 18.604 0.025 18.569 0.015 18.521 0.024 18.289 0.031  0.000 -9.000 -27.101
093643.51+292713.6 2.9257 18.954 0.036 18.090 0.032 18.115 0.018 18.094 0.015 18.001 0.029 14.794 -9.000 -28.162
093643.69+090204.3 0.9082 19.172 0.039 19.034 0.021 18.927 0.021 19.065 0.019 18.916 0.050  0.000 -9.000 -24.508
093644.23+044409.1 0.8614 19.977 0.040 19.673 0.023 19.544 0.022 19.469 0.023 19.303 0.053  0.000 -9.000 -24.006
093644.54+572955.2 1.1844 19.812 0.040 19.714 0.017 19.476 0.019 19.544 0.026 19.512 0.062  0.000 -9.000 -24.621
093645.86-004242.6 1.2161 19.710 0.038 19.697 0.019 19.442 0.020 19.517 0.025 19.534 0.064  0.000 -9.000 -24.751
093645.89+465649.2 1.7268 20.434 0.058 20.161 0.033 20.138 0.028 19.827 0.034 19.896 0.111  0.000 -9.000 -25.219
093646.85+573926.6 0.4837 19.022 0.024 18.686 0.023 18.726 0.024 18.503 0.021 18.490 0.033  0.000 -1.111 -23.491
093647.38+265846.4 0.5921 18.071 0.022 17.819 0.026 17.989 0.018 17.964 0.020 18.071 0.026  0.000 -9.000 -24.524
093647.77+372851.9 1.3533 18.943 0.029 19.164 0.026 18.756 0.017 18.749 0.021 18.758 0.042  0.000 -9.000 -25.730
093647.85+085448.8 3.8189 25.071 1.304 21.410 0.057 20.082 0.028 19.987 0.033 19.833 0.106  0.000 -9.000 -26.899
093648.43+341709.9 1.3740 19.293 0.027 19.203 0.019 18.956 0.016 18.948 0.022 19.015 0.034  0.000 -9.000 -25.568
093649.26+555732.4 0.7100 20.484 0.061 19.986 0.023 20.055 0.027 20.071 0.042 19.697 0.116  0.000 -9.000 -22.864
093649.47+541003.7 1.9393 19.664 0.028 19.577 0.021 19.510 0.017 19.233 0.020 19.051 0.042  0.000 -9.000 -26.090
093649.55+324454.1 1.2744 18.771 0.027 18.724 0.020 18.564 0.015 18.606 0.014 18.714 0.045  0.000 -9.000 -25.739
093649.72-000944.7 1.6449 20.147 0.040 19.883 0.024 19.921 0.022 19.697 0.029 19.622 0.077  0.000 -9.000 -25.289
093649.78+012023.2 2.0412 19.211 0.030 19.074 0.020 18.760 0.019 18.502 0.019 18.188 0.029 14.383 -9.000 -27.043
093650.38+363328.4 1.6992 19.093 0.029 19.050 0.017 19.037 0.021 18.805 0.019 18.716 0.031  0.000 -9.000 -26.207
093650.55+021241.3 1.5029 18.608 0.022 18.496 0.018 18.342 0.010 18.120 0.016 18.268 0.039  0.000 -9.000 -26.650
093651.27+333421.6 0.4894 19.458 0.060 19.081 0.018 19.011 0.017 18.817 0.020 18.712 0.037  0.000 -9.000 -23.202
093651.56+473530.6 2.0428 20.514 0.084 20.314 0.028 20.283 0.035 20.077 0.045 19.759 0.115  0.000 -9.000 -25.360
093652.60+401546.2 4.5421 24.687 0.881 24.086 0.571 21.031 0.050 20.234 0.041 19.770 0.098  0.000 -9.000 -26.966
093652.74+014328.0 0.4343 19.070 0.026 18.783 0.017 18.848 0.014 18.729 0.021 18.462 0.042  0.000 -9.000 -23.062
093653.03+413113.4 1.8073 18.539 0.024 18.583 0.024 18.596 0.017 18.310 0.017 18.228 0.027  0.000 -9.000 -26.853
093653.61+371551.7 1.5419 20.336 0.053 20.143 0.025 20.213 0.030 19.904 0.037 19.915 0.115  0.000 -9.000 -24.883
093653.66+445512.4 1.2162 19.907 0.045 19.788 0.020 19.499 0.018 19.493 0.031 19.664 0.072  0.000 -9.000 -24.736
093653.84+533126.8 0.2280 17.298 0.022 17.107 0.032 16.874 0.019 16.479 0.015 16.619 0.016  0.000 -9.000 -23.711
093654.69+563603.8 1.1134 20.101 0.044 19.851 0.025 19.472 0.018 19.358 0.021 19.334 0.092  0.000 -9.000 -24.667
093656.00+511831.9 0.4400 19.764 0.030 19.383 0.019 19.378 0.021 18.917 0.020 18.726 0.037  0.000 -1.655 -22.836
093656.41+050313.7 1.1692 19.903 0.053 19.877 0.027 19.549 0.023 19.526 0.024 19.732 0.074  0.000 -9.000 -24.667
093656.41+494323.8 1.6375 19.625 0.057 19.388 0.036 19.326 0.026 19.046 0.022 19.061 0.059  0.000 -9.000 -25.879
093657.13+581119.0 2.5363 19.532 0.030 19.067 0.016 19.016 0.017 18.980 0.023 18.839 0.049  0.000 -9.000 -26.963
093657.53+500558.4 2.8923 20.937 0.090 19.557 0.019 19.301 0.016 19.254 0.020 19.274 0.064  0.000 -9.000 -26.969
093657.63+445315.2 1.2191 20.953 0.067 20.807 0.026 20.451 0.025 20.420 0.038 20.331 0.123 16.115 -9.000 -23.816
093657.67+571016.7 2.1763 20.415 0.052 20.202 0.026 20.295 0.037 20.173 0.042 19.801 0.091  0.000 -9.000 -25.421
093659.57+103632.7 1.2901 18.577 0.021 18.480 0.013 18.203 0.012 18.171 0.013 18.206 0.028  0.000 -9.000 -26.240
093659.63+031822.7 1.1487 19.879 0.046 19.805 0.033 19.611 0.020 19.644 0.027 19.589 0.072  0.000 -9.000 -24.491
093659.70-004946.4 0.6147 22.478 0.354 21.612 0.051 21.096 0.052 20.390 0.042 20.601 0.162  0.000 -9.000 -22.220
093659.99+370706.3 1.9786 20.096 0.043 20.117 0.023 20.194 0.026 19.917 0.029 19.745 0.071  0.000 -9.000 -25.449
093701.18+550257.8 1.5168 20.319 0.043 20.013 0.023 19.970 0.021 19.821 0.027 19.873 0.084  0.000 -9.000 -24.933
093701.29+040159.8 1.5532 20.626 0.072 20.421 0.030 20.291 0.032 20.115 0.035 19.964 0.126  0.000 -9.000 -24.737
093701.56+080038.2 0.8891 19.779 0.036 19.567 0.019 19.501 0.022 19.636 0.025 19.400 0.085  0.000 -9.000 -23.878
093701.91+342459.8 0.9155 16.682 0.013 16.454 0.014 16.287 0.014 16.289 0.020 16.189 0.020  0.000 -1.514 -27.256
093701.99+025440.4 1.1807 18.621 0.023 18.532 0.026 18.310 0.021 18.247 0.017 18.300 0.028  0.000 -9.000 -25.949
093702.47+505710.1 1.1278 19.173 0.037 18.998 0.020 18.703 0.016 18.760 0.019 18.789 0.037 14.398 -9.000 -25.280
093702.73+033809.2 1.7142 19.298 0.032 19.094 0.015 19.035 0.015 18.842 0.019 18.858 0.045  0.000 -9.000 -26.234
093703.03+361537.1 0.1798 18.734 0.030 18.350 0.016 17.996 0.023 17.554 0.021 17.528 0.019 15.009 -0.986 -22.087
093703.11+372042.0 0.6804 19.697 0.043 19.161 0.026 18.981 0.035 18.868 0.026 18.767 0.046  0.000 -9.000 -23.951
093703.46-005002.2 0.8362 20.527 0.068 20.427 0.025 20.330 0.031 20.357 0.042 19.938 0.092  0.000 -9.000 -23.001
093704.03+293704.8 0.4505 17.648 0.017 17.486 0.016 17.554 0.018 17.515 0.016 17.439 0.022 15.427 -9.000 -24.313
093704.58+531315.9 2.8761 21.327 0.102 20.206 0.048 19.978 0.024 19.726 0.026 19.541 0.066 15.883 -9.000 -26.491
093705.77+075308.8 1.2240 18.791 0.022 18.621 0.016 18.428 0.018 18.483 0.014 18.571 0.044  0.000 -9.000 -25.801
093706.17+070457.1 0.9658 18.940 0.025 18.757 0.024 18.581 0.026 18.592 0.015 18.408 0.033  0.000 -9.000 -25.136
093706.83+063101.3 1.6898 20.139 0.049 19.910 0.025 19.774 0.027 19.561 0.026 19.348 0.063  0.000 -9.000 -25.512
093708.51+012543.9 0.3320 19.339 0.034 19.045 0.029 18.711 0.018 18.572 0.020 18.050 0.028  0.000 -9.000 -22.599
093708.77+622005.4 2.5226 19.624 0.030 19.029 0.019 18.751 0.015 18.779 0.019 18.567 0.033  0.000 -9.000 -27.190
093708.89+082433.4 0.9997 20.172 0.040 19.933 0.017 19.634 0.023 19.742 0.031 19.549 0.090  0.000 -9.000 -24.063
093709.79+495151.1 3.6483 24.221 1.158 21.530 0.064 20.028 0.031 19.800 0.031 20.114 0.133  0.000 -9.000 -26.930
093710.44+010505.7 2.1074 19.460 0.038 19.346 0.023 19.164 0.016 18.985 0.025 18.700 0.045  0.000 -9.000 -26.640
093710.55+063323.3 0.8271 18.949 0.031 18.682 0.019 18.594 0.030 18.540 0.031 18.381 0.030  0.000 -9.000 -24.825
093710.91+551556.6 1.3397 20.237 0.044 20.151 0.023 19.960 0.021 19.903 0.029 19.916 0.086  0.000 -9.000 -24.560
093711.03+411944.6 1.5614 19.927 0.052 19.740 0.026 19.732 0.027 19.506 0.027 19.634 0.091  0.000 -9.000 -25.314
093711.24+520638.8 0.7359 20.178 0.054 19.770 0.046 19.849 0.046 19.769 0.028 19.691 0.091  0.000 -9.000 -23.239
093711.74+484627.6 0.7662 19.304 0.029 19.110 0.022 19.062 0.020 19.135 0.022 18.982 0.052  0.000 -9.000 -23.983
093711.91+601552.4 1.2268 19.638 0.034 19.344 0.017 18.805 0.019 18.690 0.015 18.734 0.035  0.000 -9.000 -25.582
093711.94+432727.2 0.9484 20.184 0.035 19.484 0.032 18.821 0.018 18.745 0.029 18.433 0.029  0.000 -9.000 -24.880
093712.33+500852.1 0.2756 19.721 0.041 19.153 0.018 18.522 0.015 18.099 0.014 17.746 0.023 10.859 -0.970 -22.539
093713.64+451204.5 1.2569 20.552 0.048 20.482 0.021 20.129 0.022 20.017 0.027 20.103 0.076  0.000 -9.000 -24.290
093714.29+425404.8 0.7339 18.218 0.041 17.891 0.025 17.852 0.013 17.930 0.019 17.831 0.022  0.000 -9.000 -25.072
093714.30+363157.7 1.9403 20.457 0.062 20.475 0.025 20.440 0.031 20.199 0.032 20.113 0.094  0.000 -9.000 -25.122
093714.49+082858.5 3.6999 22.875 0.442 19.933 0.021 18.711 0.015 18.695 0.017 18.549 0.034 15.049 -9.000 -28.124
093714.85+005609.6 1.3427 18.670 0.019 18.509 0.014 18.181 0.012 18.090 0.011 18.112 0.028  0.000 -9.000 -26.510
093715.34-002106.7 3.1250 24.491 0.998 20.863 0.031 20.594 0.032 20.199 0.033 20.081 0.109 14.845 -9.000 -26.232
093715.38+041737.6 3.1258 20.949 0.070 18.893 0.025 18.506 0.015 18.392 0.013 18.390 0.028  0.000 -9.000 -28.060
093715.56+082307.9 1.2293 18.962 0.024 18.925 0.012 18.586 0.019 18.542 0.018 18.686 0.063  0.000 -9.000 -25.759
093716.39+453719.4 1.3421 20.439 0.050 19.877 0.016 19.385 0.019 19.072 0.022 19.043 0.044  0.000 -9.000 -25.385
093716.63+001824.4 1.6728 19.452 0.026 19.204 0.016 19.306 0.019 19.077 0.019 19.199 0.066  0.000 -9.000 -25.971
093717.70+011836.6 0.8670 21.536 0.170 21.460 0.056 20.955 0.059 20.171 0.046 19.803 0.111 15.486 -9.000 -23.334
093718.01+085311.4 1.6156 19.368 0.034 19.090 0.024 18.924 0.022 18.571 0.020 18.584 0.044  0.000 -9.000 -26.374
093718.69+390054.0 1.3351 19.462 0.035 19.284 0.018 18.986 0.022 18.931 0.021 18.931 0.046  0.000 -9.000 -25.520
093718.72+553728.4 1.3570 18.601 0.018 18.442 0.017 18.176 0.009 18.072 0.018 18.034 0.029  0.000 -9.000 -26.430
